               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089201,             0.17203,            0.022459,             0.40797,             0.72591,             0.59534,             0.24551,            0.057881,             0.12879,            0.018178,            0.070173,           0.0033141,           0.0033141
                   1,            0.062375,             0.16972,             0.01183,               0.624,             0.69671,              0.7039,             0.26346,            0.062126,             0.09989,           0.0057013,            0.039515,           0.0059893,           0.0059893
                   2,            0.058809,             0.14846,           0.0063739,             0.92508,             0.79592,             0.89114,             0.35262,            0.050307,            0.097517,            0.003268,           0.0081972,           0.0080045,           0.0080045
                   3,             0.05014,             0.14325,           0.0048256,             0.80248,             0.78506,             0.88605,             0.53728,            0.042417,            0.085625,           0.0023833,             0.00703,             0.00703,             0.00703
                   4,            0.046113,             0.13342,           0.0040047,             0.81719,             0.90566,             0.93832,             0.64099,            0.037596,            0.076589,           0.0021033,             0.00703,             0.00703,             0.00703
                   5,            0.041394,             0.13085,           0.0036337,             0.93201,             0.92657,             0.96249,             0.74314,            0.030187,            0.071559,           0.0019308,             0.00604,             0.00604,             0.00604
                   6,            0.038743,             0.12656,           0.0034227,             0.97147,             0.93539,             0.96982,             0.76156,            0.028828,            0.065728,           0.0019809,             0.00505,             0.00505,             0.00505
                   7,             0.03517,             0.11706,           0.0030156,             0.96667,             0.94255,             0.96897,             0.74343,            0.028047,             0.06467,           0.0016937,             0.00406,             0.00406,             0.00406
                   8,            0.033566,             0.11369,           0.0029518,             0.97425,              0.9339,             0.97041,              0.8015,            0.025322,            0.059811,           0.0015288,             0.00307,             0.00307,             0.00307
                   9,            0.031496,             0.11416,           0.0027727,             0.97079,             0.93918,             0.97281,             0.82049,            0.024265,            0.057231,           0.0013942,             0.00208,             0.00208,             0.00208
